iter	Passed	Remaining
283	621	1566
284	623	1563
285	624	1560
286	626	1557
287	628	1554
288	630	1551
289	632	1547
290	634	1544
291	636	1542
292	637	1539
293	639	1535
294	641	1532
295	643	1530
296	645	1527
297	646	1524
298	648	1520
299	650	1517
300	652	1515
301	654	1512
302	655	1508
303	657	1505
304	660	1504
305	661	1501
306	663	1497
307	665	1494
308	667	1492
309	669	1489
310	671	1486
311	673	1484
312	674	1481
313	676	1478
314	678	1475
315	680	1472
316	682	1469
317	684	1467
318	686	1464
319	688	1462
320	689	1459
321	691	1456
322	693	1453
323	695	1451
324	697	1448
325	699	1445
326	701	1443
327	702	1440
328	704	1437
329	706	1435
330	709	1433
331	711	1432
332	713	1429
333	715	1426
334	717	1424
335	719	1421
336	721	1418
337	723	1416
338	725	1414
339	727	1411
340	728	1408
341	730	1406
342	732	1403
343	734	1401
344	736	1398
345	739	1397
346	741	1394
347	742	1391
348	744	1389
349	746	1386
350	748	1383
351	750	1381
352	752	1379
353	754	1376
354	756	1373
355	758	1371
356	759	1368
357	761	1366
358	763	1363
359	765	1361
360	767	1359
361	769	1356
362	771	1353
363	773	1351
364	775	1349
365	777	1346
366	779	1344
367	781	1341
368	783	1339
369	784	1336
370	787	1334
371	788	1331
372	790	1329
373	792	1326
374	794	1324
375	796	1321
376	798	1319
377	800	1316
378	802	1314
379	803	1311
380	805	1309
381	807	1307
382	809	1304
383	811	1302
384	813	1299
385	815	1297
386	817	1294
387	819	1292
388	821	1289
389	822	1286
390	824	1284
391	827	1283
392	829	1280
393	830	1277
394	832	1275
395	834	1273
396	836	1270
397	838	1268
398	840	1266
399	842	1264
400	844	1261
401	846	1258
402	848	1256
403	850	1254
404	852	1251
405	853	1249
406	855	1246
407	857	1244
408	859	1241
409	861	1239
410	863	1236
411	864	1234
412	867	1232
413	868	1229
414	870	1227
415	872	1225
416	874	1223
417	876	1220
418	878	1218
419	880	1215
420	882	1213
421	884	1210
422	885	1208
423	887	1205
424	889	1203
425	891	1201
426	893	1198
427	895	1196
428	897	1194
429	899	1192
430	901	1189
431	902	1187
432	904	1184
433	907	1183
434	909	1180
435	910	1178
436	912	1175
437	914	1173
438	916	1170
439	918	1168
440	919	1166
441	922	1164
442	924	1162
443	925	1159
444	927	1156
445	929	1154
446	931	1152
447	933	1149
448	934	1147
449	936	1144
450	938	1142
451	940	1140
452	942	1137
453	944	1135
454	945	1132
